# Time: 2074.52839139, A = 0.240483600384, alpha = 0.578401338548
5800.0 ,36.5542837473, 2.00510652083
5820.0 ,36.4947490337, 1.99554978894
5840.0 ,36.5801780018, 2.00054699581
5860.0 ,36.6236635407, 2.0120446157
5880.0 ,36.7518455547, 2.01014402591
5900.0 ,36.5405345768, 1.9503525369
5920.0 ,36.591034945, 1.89810189445
5940.0 ,36.8746077973, 1.93905955476
5960.0 ,37.1091964007, 1.92420248087
5980.0 ,36.878506381, 1.93027522271
6000.0 ,37.1586309666, 1.94761238199
6020.0 ,37.6245825808, 1.99708837436
6040.0 ,38.009781566, 2.00053640381
6060.0 ,37.6573957367, 2.00670344186
6080.0 ,37.7301742835, 1.97938246992
6100.0 ,37.5996780493, 1.96231881161
6120.0 ,37.4363596038, 1.89435656911
6140.0 ,37.3784217326, 1.92773576531
6160.0 ,37.7688045138, 1.96754044256
6180.0 ,38.0182547374, 1.98884450017
6200.0 ,38.1074083828, 2.01287953534
6220.0 ,38.497723566, 2.04582572566
6240.0 ,38.397878764, 2.00853021701
6260.0 ,38.3795629214, 2.00127753979
6280.0 ,38.4571986427, 2.05440082924
6300.0 ,38.0823498066, 2.04881467563
6320.0 ,38.2319478073, 2.0572198267
6340.0 ,38.1197138727, 2.0382319594
6360.0 ,38.27552498, 2.09866167044
6380.0 ,38.3846474953, 2.05589125533
6400.0 ,38.3327961514, 2.05351121083
6420.0 ,38.5996051718, 2.02008270212
6440.0 ,38.7596705427, 2.03314217631
6460.0 ,38.8623230973, 1.99101782711
6480.0 ,38.8029177589, 2.00263763412
6500.0 ,38.6814601582, 2.0183795165
6520.0 ,38.7990443713, 2.03405830491
6540.0 ,38.4686980695, 2.04917067787
6560.0 ,38.7166595198, 2.09398528122
6580.0 ,38.8252661082, 2.06332953936
6600.0 ,38.9994785329, 2.02273882143
6620.0 ,39.0040809634, 2.03458039935
6640.0 ,39.3290283038, 2.04507688628
6660.0 ,39.4949894784, 1.95355601795
6680.0 ,39.4032312096, 1.98023299666
6700.0 ,39.5804013609, 1.96276226838
6720.0 ,39.7172405668, 1.97478609835
6740.0 ,39.8852757533, 2.0312212873
6760.0 ,39.9796093944, 2.06487594308
6780.0 ,40.17949845, 1.9940259071
6800.0 ,40.2897569961, 2.00825948104
6820.0 ,40.9251578835, 2.0124594133
6840.0 ,40.785525464, 2.0150370233
6860.0 ,40.93445603, 1.97725543804
6880.0 ,41.4767526075, 1.97187936671
6900.0 ,41.7198733113, 1.97332208495
6920.0 ,41.9070017424, 1.99805375863
6940.0 ,42.024674121, 1.9926408166
6960.0 ,42.2018431003, 2.00244240385
6980.0 ,42.0895017283, 1.99601562553
7000.0 ,42.3979921592, 2.03826451553
7020.0 ,42.4946328684, 2.04814113451
7040.0 ,42.9302225681, 2.12343252452
7060.0 ,42.7238771319, 2.15109290754
7080.0 ,42.5642245693, 2.1177355522
7100.0 ,42.1595517785, 2.11511336494
7120.0 ,42.1825226087, 2.15514327255
7140.0 ,42.3507941978, 2.1527723358
7160.0 ,42.1449710128, 2.12063739634
7180.0 ,42.2632814408, 2.11733496552
7200.0 ,42.3289463114, 2.09403598234
7220.0 ,42.695555343, 2.10351144599
7240.0 ,43.1477928356, 2.15291509173
7260.0 ,42.8433975322, 2.14111873268
7280.0 ,42.8598698434, 2.1606932823
7300.0 ,42.5806129745, 2.12851236631
7320.0 ,42.4810510958, 2.11660591094
7340.0 ,42.4421494589, 2.1665361405
7360.0 ,42.2010827226, 2.13001600837
7380.0 ,42.158887653, 2.10788138572
7400.0 ,42.1850848707, 2.0974676712
7420.0 ,42.2010018357, 2.12528491745
7440.0 ,42.4198389584, 2.12661733553
7460.0 ,42.8328822415, 2.17282378245
7480.0 ,43.0816337193, 2.18802249408
7500.0 ,43.0154630402, 2.22636707552
7520.0 ,43.1720699872, 2.24602217187
7540.0 ,43.4098378813, 2.24178576787
7560.0 ,43.0416121489, 2.22102850047
7580.0 ,43.2893885893, 2.25906736425
7600.0 ,43.5005282847, 2.241077947
7620.0 ,43.2771232101, 2.28272449808
7640.0 ,43.4504980073, 2.26845147652
7660.0 ,43.8190370934, 2.27901239359
7680.0 ,43.7789358669, 2.28836004552
7700.0 ,44.0378589411, 2.26993851523
7720.0 ,43.8879601077, 2.26190604539
7740.0 ,44.1494286382, 2.29075038217
7760.0 ,43.5631243482, 2.24979953987
7780.0 ,43.6256731233, 2.23174933666
7800.0 ,43.365873816, 2.22383078952
7820.0 ,43.6242003055, 2.24498196291
7840.0 ,43.7964169837, 2.30006392136
7860.0 ,44.0877934949, 2.28293012692
7880.0 ,44.1985611874, 2.24287120741
7900.0 ,44.0546307503, 2.24549174567
7920.0 ,43.741416781, 2.23914053204
7940.0 ,43.6912846483, 2.19535640817
7960.0 ,43.6929927782, 2.21050363329
7980.0 ,43.7841511774, 2.19373786279
8000.0 ,43.6638535864, 2.16525399192
8020.0 ,44.2868757012, 2.1696837542
8040.0 ,44.5415940684, 2.20065240243
8060.0 ,44.416418695, 2.15899932911
8080.0 ,44.5219999139, 2.17808664544
8100.0 ,44.7632626838, 2.19724503478
8120.0 ,44.6565691204, 2.20495647592
8140.0 ,44.5642885475, 2.22791173122
8160.0 ,44.822023239, 2.19928872702
8180.0 ,45.1264860356, 2.19366539809
8200.0 ,45.4340671188, 2.2199626439
8220.0 ,44.7464886742, 2.14279208814
8240.0 ,44.4302842187, 2.13925439122
8260.0 ,44.8305595436, 2.18436915747
8280.0 ,45.3465665416, 2.20010818223
8300.0 ,45.0231194194, 2.20777348162
8320.0 ,45.7311584164, 2.23722245645
8340.0 ,46.3389271689, 2.32617403635
8360.0 ,46.3450198645, 2.29919245313
8380.0 ,46.1437186378, 2.27801213046
8400.0 ,46.1210985218, 2.29117904685
8420.0 ,46.0328944701, 2.30580844956
8440.0 ,45.927743188, 2.27168675606
8460.0 ,45.52003611, 2.20832599116
8480.0 ,45.9322348113, 2.19287723447
8500.0 ,45.7552612796, 2.20594971441
8520.0 ,46.1921301059, 2.24589788163
8540.0 ,46.3558285923, 2.230531758
8560.0 ,46.2912385488, 2.23208509133
8580.0 ,46.4578978433, 2.2570982423
8600.0 ,46.1337288792, 2.26322988247
8620.0 ,46.2838629369, 2.24538899158
8640.0 ,46.5207026279, 2.24744454105
8660.0 ,46.39627109, 2.25951543079
8680.0 ,46.0696703094, 2.28804982911
8700.0 ,46.1305228801, 2.308459373
8720.0 ,46.4345264869, 2.38009762443
8740.0 ,47.1118823876, 2.40873507161
8760.0 ,46.8585148487, 2.44987913887
8780.0 ,46.8128211606, 2.45618550151
8800.0 ,46.9686715375, 2.42981102915
8820.0 ,47.0680562955, 2.40013631962
8840.0 ,46.8464367294, 2.37500465153
8860.0 ,47.3514512801, 2.44704071612
8880.0 ,47.530387018, 2.49589962836
8900.0 ,47.1629068513, 2.45748438483
8920.0 ,46.8325554579, 2.42600315023
8940.0 ,46.8238003406, 2.40712259182
8960.0 ,46.6618899067, 2.40290540141
8980.0 ,46.579652426, 2.42180861631
9000.0 ,46.5285193467, 2.43530000955
9020.0 ,46.5433437021, 2.46676673953
9040.0 ,46.4933429675, 2.46060000798
9060.0 ,46.7219583556, 2.46104374591
9080.0 ,46.9169481999, 2.44595049736
9100.0 ,46.720402991, 2.44307981482
9120.0 ,46.4229079805, 2.41002873043
9140.0 ,45.9964645186, 2.39274988414
9160.0 ,46.0012178798, 2.42828945901
9180.0 ,45.9083335129, 2.415715834
9200.0 ,46.1958742693, 2.48086983925
9220.0 ,46.4102881406, 2.47084502487
9240.0 ,46.0533215039, 2.47481366309
9260.0 ,45.8889521987, 2.4356868527
9280.0 ,46.0711253308, 2.46500031537
9300.0 ,46.3922965062, 2.46620744311
9320.0 ,46.4794491758, 2.50256757721
9340.0 ,46.3272459619, 2.47571505868
9360.0 ,46.2280793441, 2.48027199126
9380.0 ,46.3703215063, 2.44351168826
9400.0 ,46.2910863669, 2.48723302617
9420.0 ,46.1237016137, 2.50194705164
9440.0 ,45.8356054963, 2.4218203772
9460.0 ,46.2776841092, 2.4148011007
9480.0 ,46.4798341507, 2.40117390298
9500.0 ,46.4871829332, 2.36489173166
9520.0 ,46.2277482592, 2.36497981733
9540.0 ,45.9918082282, 2.43431103081
9560.0 ,46.3369320239, 2.51403001793
9580.0 ,46.3277076322, 2.51790832241
9600.0 ,46.240473082, 2.48763065233
9620.0 ,46.4694595834, 2.45993320252
9640.0 ,46.4795563385, 2.52687921461
9660.0 ,46.2869658502, 2.56115656733
9680.0 ,45.9808267726, 2.57302759867
9700.0 ,46.2560704329, 2.62011068138
9720.0 ,46.6690662153, 2.69701201343
9740.0 ,46.6710913778, 2.69075701056
9760.0 ,46.4015908496, 2.69385710594
9780.0 ,46.3507099289, 2.68629297345
9800.0 ,46.2290849719, 2.68522338068
9820.0 ,46.2449452831, 2.68590096416
9840.0 ,46.6730131284, 2.74509984706
9860.0 ,46.3871399204, 2.70545407242
9880.0 ,46.4226313999, 2.74102573376
9900.0 ,46.4343469601, 2.70693742564
9920.0 ,46.6888908416, 2.716846459
9940.0 ,47.1613460196, 2.75825610419
9960.0 ,47.3498408654, 2.81934142428
9980.0 ,47.4140073015, 2.85164311019
